group,tile_id,cl_png,total_pixels,palette_pixels,unknown_pixels,entropy_nats_palette,count_tumor,frac_of_all_tumor,frac_of_palette_tumor,count_stroma,frac_of_all_stroma,frac_of_palette_stroma,count_immune_cells,frac_of_all_immune_cells,frac_of_palette_immune_cells,count_necrosis,frac_of_all_necrosis,frac_of_palette_necrosis,count_other,frac_of_all_other,frac_of_palette_other,count_ignore,frac_of_all_ignore,frac_of_palette_ignore
tumour_inv,JN_TS_002_tumour_inv_tile_14559_5229,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_14559_5229_cl.png,62742241,62742241,0,0.9994853865908555,11842690,0.1887514664960724,0.1887514664960724,5660078,0.09021160082567022,0.09021160082567022,773172,0.012322989865790735,0.012322989865790735,41845534,0.6669435667750535,0.6669435667750535,2432370,0.03876766212415014,0.03876766212415014,188397,0.003002713913262996,0.003002713913262996
tumour_inv,JN_TS_002_tumour_inv_tile_11175_10127,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_11175_10127_cl.png,62742241,62742241,0,1.3648616017579402,13535914,0.2157384528231945,0.2157384528231945,5675929,0.0904642376417508,0.0904642376417508,4030273,0.0642354008362564,0.0642354008362564,32894501,0.5242799822849808,0.5242799822849808,4592272,0.0731926677595083,0.0731926677595083,2013352,0.032089258654309144,0.032089258654309144
tumour_inv,JN_TS_001_tumour_inv_tile_6722_12156,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_6722_12156_cl.png,62742241,62742241,0,1.467764290226015,9006818,0.14355269841254156,0.14355269841254156,9290512,0.14807427742340284,0.14807427742340284,1375632,0.021925133340391843,0.021925133340391843,30028581,0.4786023023946499,0.4786023023946499,7064050,0.11258842348331166,0.11258842348331166,5976648,0.09525716494570222,0.09525716494570222
tumour_inv,JN_TS_001_tumour_inv_tile_10009_14592,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_10009_14592_cl.png,62742241,62742241,0,1.5573927311245972,6717401,0.10706345347148184,0.10706345347148184,10458436,0.16668891377341782,0.16668891377341782,1353658,0.021574906768153213,0.021574906768153213,25291005,0.40309374668335485,0.40309374668335485,9334557,0.1487762765757761,0.1487762765757761,9587184,0.15280270272781618,0.15280270272781618
tumour_inv,JN_TS_013_tumour_inv_tile_19986_8421,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_013/JN_TS_013_tile_19986_8421_cl.png,62742241,62742241,0,1.0287227837544186,3506056,0.055880311957617196,0.055880311957617196,8655775,0.13795769583684458,0.13795769583684458,334471,0.0053308742988635045,0.0053308742988635045,42855571,0.6830417644788939,0.6830417644788939,6119914,0.0975405707934468,0.0975405707934468,1270454,0.02024878263433402,0.02024878263433402
tumour_inv,JN_TS_013_tumour_inv_tile_18392_16717,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_013/JN_TS_013_tile_18392_16717_cl.png,62742241,62742241,0,1.1340668174860635,12740277,0.20305741071633066,0.20305741071633066,6619028,0.1054955623915314,0.1054955623915314,1202335,0.019163086635684563,0.019163086635684563,38344973,0.6111508353678345,0.6111508353678345,3272602,0.05215946940753997,0.05215946940753997,563026,0.008973635481078848,0.008973635481078848
tumour_inv,JN_TS_013_tumour_inv_tile_19191_11788,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_013/JN_TS_013_tile_19191_11788_cl.png,62742241,62742241,0,1.143797679201021,1832799,0.029211564183689264,0.029211564183689264,12518222,0.19951824800137438,0.19951824800137438,173637,0.0027674657014562167,0.0027674657014562167,36781100,0.5862254744773939,0.5862254744773939,9636691,0.15359175646913856,0.15359175646913856,1799792,0.02868549116694764,0.02868549116694764
tumour_lep,JN_TS_012_tumour_lep_tile_6457_12399,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_012/JN_TS_012_tile_6457_12399_cl.png,62742241,62742241,0,1.703441622811574,16368491,0.2608847044529379,0.2608847044529379,9120012,0.14535680993606842,0.14535680993606842,3074885,0.04900821123045318,0.04900821123045318,12574217,0.20041070895124705,0.20041070895124705,12262501,0.19544250897891902,0.19544250897891902,9342135,0.1488970564503745,0.1488970564503745
tumour_lep,JN_TS_001_tumour_lep_tile_11121_12254,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_11121_12254_cl.png,62742241,62742241,0,1.5734612496342566,5244426,0.0835868454236437,0.0835868454236437,8837955,0.14086132180073072,0.14086132180073072,1634571,0.026052161573253338,0.026052161573253338,17019118,0.27125454444638025,0.27125454444638025,8718981,0.13896508733247193,0.13896508733247193,21287190,0.3392800394235201,0.3392800394235201
tumour_lep,JN_TS_003_tumour_lep_tile_21656_15546,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_003/JN_TS_003_tile_21656_15546_cl.png,62742241,62742241,0,1.5992803131472755,5729282,0.09131458979923908,0.09131458979923908,8531506,0.135977068463334,0.135977068463334,2023399,0.032249390008240224,0.032249390008240224,12536905,0.19981602187272846,0.19981602187272846,11331071,0.18059716738520704,0.18059716738520704,22590078,0.36004576247125125,0.36004576247125125
tumour_lep,JN_TS_007_tumour_lep_tile_3888_13879,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_007/JN_TS_007_tile_3888_13879_cl.png,62742241,62742241,0,1.1856012904147692,1435085,0.022872708674846344,0.022872708674846344,9032382,0.14396014321515868,0.14396014321515868,1254517,0.01999477513084048,0.01999477513084048,1461451,0.02329293593450065,0.02329293593450065,13856184,0.22084298837843552,0.22084298837843552,35702622,0.5690364486662184,0.5690364486662184
tumour_scar,JN_TS_008_tumour_scar_tile_13288_7309,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_008/JN_TS_008_tile_13288_7309_cl.png,62742241,62742241,0,1.258688300295119,1644242,0.02620630015430912,0.02620630015430912,31932529,0.5089478554009571,0.5089478554009571,1022409,0.01629538543259875,0.01629538543259875,1921185,0.030620280203252543,0.030620280203252543,15766853,0.2512956621998886,0.2512956621998886,10455023,0.16663451660899392,0.16663451660899392
